STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
6,Ba Tri,53,20,18,17,0,0,0,0,0,0,6,5,1,1,0,0,0,0,13,9,3,3,0,0,0,0,16,14,1,1,0,0,0,0,47,41,10,10,0,0,0,0,98,85,20,19,0,0,0,0,114,100,19,17,0,0,0,0,66,59,10,9,0,0,0,0,53,41,11,10,0,0,0,0,26,20,4,4,0,0,0,0,49,41,5,5,0,0,0,0,18,12,6,6,0,0,0,0,524,444,90,85,0,0,0,0,,,,,,,,,,,,,,,,
7,Bình Đại,52,21,12,9,3,3,0,0,0,0,9,9,2,2,0,0,0,0,12,10,1,0,0,0,0,0,6,5,2,2,0,0,0,0,17,16,0,0,0,0,0,0,7,6,3,3,0,0,0,0,22,22,4,3,0,0,0,0,31,28,9,8,0,0,0,0,22,17,8,7,0,0,0,0,22,18,5,5,0,0,0,0,20,17,8,8,0,0,0,0,11,7,4,4,0,0,0,0,191,164,49,45,0,0,0,0,,,,,,,,,,,,,,,,
8,Chợ Lách,50,22,8,7,1,1,0,0,0,0,8,5,3,3,0,0,0,0,11,11,0,0,0,0,0,0,9,8,1,1,0,0,0,0,5,4,1,1,0,0,0,0,8,7,1,1,0,0,0,0,15,14,3,2,0,0,0,0,8,6,3,3,0,0,0,0,17,11,5,4,0,0,0,0,16,10,2,2,0,0,0,0,18,14,1,1,0,0,0,0,13,12,1,0,0,0,0,0,136,109,22,19,0,0,0,0,,,,,,,,,,,,,,,,
9,Tổng cộng,,,116,90,15,14,0,0,0,0,92,75,17,17,0,0,0,0,122,102,17,14,0,0,0,0,94,83,9,6,0,0,0,0,123,105,22,20,0,0,0,0,207,173,50,45,0,0,0,0,359,297,96,82,0,0,0,0,389,273,76,60,0,0,0,0,388,270,109,91,0,0,0,0,322,214,71,58,0,0,0,0,296,224,80,60,0,0,0,0,185,126,51,45,0,0,0,0,2693,2032,613,512,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693,2032,613,512,0,0,0,0,,,,,,,,,,,,,,,,
THAY ĐỔI THỨ TỰ HUYỆN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Bến Tre,48,19,3,3,34,20,3,3,0,0,0,0,0,0,0,0,12,6,2,1,0,0,0,0,0,0,2,2,9,8,2,1,0,0,0,0,0,0,1,0,12,7,1,1,0,0,0,0,0,0,6,4,18,16,4,3,0,0,0,0,1,1,0,0,44,39,0,0,0,0,0,0,0,0,2,2,35,26,3,2,0,0,0,0,0,0,2,2,21,16,3,3,0,0,0,0,0,0,1,1,24,20,5,4,0,0,0,0,0,0,0,0,14,14,1,1,0,0,0,0,0,0
2,Châu Thành,49,23,0,0,17,10,2,1,0,0,0,0,0,0,1,1,5,2,3,2,0,0,0,0,0,0,1,1,11,10,1,1,0,0,0,0,0,0,0,0,15,13,3,3,0,0,0,0,0,0,2,2,18,14,7,7,0,0,0,0,0,0,3,2,35,27,6,5,0,0,0,0,0,0,3,2,55,37,9,7,0,0,0,0,0,0,10,7,45,30,9,5,0,0,0,0,0,0,7,6,76,60,9,8,0,0,0,0,0,0,3,3,46,32,12,11,0,0,0,0,0,0
3,Chợ Lách,50,22,0,0,7,7,0,0,0,0,0,0,0,0,0,0,8,5,1,1,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,4,4,22,16,2,2,0,0,0,0,0,0,2,2,45,31,18,11,0,0,0,0,0,0,1,1,81,67,10,8,0,0,0,0,0,0,0,0,47,43,10,7,0,0,0,0,0,0,1,0,27,22,6,2,0,0,0,0,0,0,1,1,14,10,8,6,0,0,0,0,0,0
4,Mỏ Cày,130,25 & 26,1,1,23,17,2,2,0,0,0,0,0,0,0,0,6,4,2,2,0,0,0,0,0,0,1,1,9,7,3,2,0,0,0,0,0,0,3,3,18,13,2,1,0,0,0,0,0,0,1,1,12,8,1,1,0,0,0,0,0,0,2,1,26,23,7,7,0,0,0,0,0,0,2,2,35,29,7,6,0,0,0,0,0,0,1,1,39,27,6,6,0,0,0,0,0,0,0,0,15,14,3,2,0,0,0,0,0,0,0,0,17,14,9,6,0,0,0,0,0,0
5,Giồng Trôm,51,24,1,1,25,16,2,2,0,0,0,0,0,0,0,0,6,2,3,3,0,0,0,0,0,0,1,1,3,1,1,1,0,0,0,0,0,0,1,0,7,5,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0,4,4,35,29,2,2,0,0,0,0,0,0,6,6,26,23,7,5,0,0,0,0,0,0,1,1,10,9,4,3,0,0,0,0,0,0,1,1,21,12,7,3,0,0,0,0,0,0,2,1,24,20,0,0,0,0,0,0,0,0
6,Bình Đại,52,21,0,0,11,9,2,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,7,7,1,1,0,0,0,0,0,0,1,0,8,5,0,0,0,0,0,0,0,0,0,0,17,15,8,7,0,0,0,0,0,0,3,2,46,39,8,6,0,0,0,0,0,0,1,0,70,57,12,10,0,0,0,0,0,0,3,3,37,32,9,6,0,0,0,0,0,0,2,2,36,24,9,9,0,0,0,0,0,0,1,1,25,18,8,5,0,0,0,0,0,0
7,Ba Tri,53,20,0,0,14,10,2,2,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,6,5,2,2,0,0,0,0,0,0,0,0,48,39,4,4,0,0,0,0,0,0,0,0,75,70,13,12,0,0,0,0,0,0,0,0,48,43,7,7,0,0,0,0,0,0,0,0,25,24,5,5,0,0,0,0,0,0,0,0,18,16,3,3,0,0,0,0,0,0,0,0,21,16,2,2,0,0,0,0,0,0
8,Thạnh Phú,54,27,0,0,6,5,7,5,0,0,0,0,0,0,0,0,16,12,4,4,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,0,0,0,0,0,8,7,10,8,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,8,5,12,11,0,0,0,0,0,0,0,0,20,18,4,3,0,0,0,0,0,0,1,1,6,5,5,4,0,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,5,5,4,3,0,0,0,0,0,0
9,Tổng cộng,,,5,5,137,94,20,17,0,0,0,0,0,0,1,1,63,39,15,13,0,0,0,0,0,0,6,6,60,46,12,9,0,0,0,0,0,0,6,3,87,66,18,15,0,0,0,0,0,0,13,11,150,118,28,26,0,0,0,0,1,1,14,11,314,263,66,54,0,0,0,0,0,0,15,13,370,300,59,48,0,0,0,0,0,0,18,15,230,186,51,39,0,0,0,0,0,0,12,10,222,173,44,32,0,0,0,0,0,0,7,6,166,129,44,34,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Bến Tre,48,19,1,1,8,5,0,0,0,0,0,0,0,0,1,0,8,7,1,1,0,0,0,0,0,0,1,1,10,6,0,0,0,0,0,0,0,0,1,1,16,6,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,6,5,55,40,1,1,0,0,0,0,0,0,23,21,221,176,7,5,0,0,0,0,0,0,11,7,139,110,13,11,0,0,0,0,0,0,17,14,122,96,5,4,0,0,0,0,0,0,31,30,80,62,13,11,0,0,0,0,0,0
2,Châu Thành,49,23,7,7,64,47,3,3,0,0,0,0,0,0,3,3,32,18,7,4,0,0,0,0,0,0,2,2,23,18,4,2,0,0,0,0,0,0,1,1,21,15,4,4,0,0,0,0,0,0,4,3,22,16,4,4,0,0,0,0,0,0,4,4,68,46,21,13,0,0,0,0,0,0,21,10,189,130,28,23,0,0,0,0,0,0,61,45,230,151,35,24,0,0,0,0,1,0,36,24,167,113,26,20,0,0,0,0,0,0,20,16,68,53,6,4,0,0,0,0,0,0
3,Chợ Lách,50,22,0,0,7,2,1,1,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,9,7,4,2,0,0,0,0,0,0,1,0,10,4,3,3,0,0,0,0,0,0,0,0,10,7,1,1,0,0,0,0,0,0,1,1,25,17,5,5,0,0,0,0,0,0,1,1,46,28,6,4,0,0,0,0,0,0,4,1,69,39,9,8,0,0,0,0,0,0,7,4,37,32,10,8,0,0,0,0,0,0,2,1,30,21,5,4,0,0,0,0,0,0
4,Mỏ Cày,130,25 & 26,5,5,11,9,2,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,0,1,1,7,5,2,2,0,0,0,0,0,0,4,4,16,11,4,4,0,0,0,0,0,0,4,4,51,36,9,7,0,0,0,0,0,0,7,6,139,95,36,28,0,0,0,0,0,0,14,10,239,161,59,42,0,0,0,0,0,0,11,6,208,138,44,38,0,0,0,0,0,0,24,18,82,52,29,19,0,0,0,0,0,0,10,8,69,47,16,14,0,0,0,0,0,0
5,Giồng Trôm,51,24,4,3,6,2,2,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,2,2,6,3,0,0,0,0,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,1,0,10,9,4,3,0,0,0,0,0,0,5,5,38,26,2,1,0,0,0,0,0,0,7,6,121,92,9,7,0,0,0,0,0,0,11,10,108,86,14,12,0,0,0,0,0,0,11,7,91,68,9,8,0,0,0,0,1,1,24,22,85,66,10,8,0,0,0,0,0,0
6,Bình Đại,52,21,0,0,8,4,2,2,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,38,35,9,6,0,0,0,0,0,0,4,2,62,57,14,13,0,0,0,0,0,0,43,35,300,250,55,50,0,0,0,0,0,0,15,14,260,217,32,26,0,0,0,0,0,0,9,8,128,95,19,16,0,0,0,0,0,0,8,6,70,57,5,4,0,0,0,0,0,0,6,5,36,28,4,3,0,0,0,0,0,0
7,Ba Tri,53,20,0,0,8,6,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,12,10,2,2,0,0,0,0,0,0,1,1,28,25,4,4,0,0,0,0,0,0,2,2,41,38,6,6,0,0,0,0,0,0,2,2,115,108,18,17,0,0,0,0,0,0,3,2,86,81,19,19,0,0,0,0,0,0,1,0,76,68,10,10,0,0,0,0,0,0,4,4,83,73,11,9,0,0,0,0,0,0,1,1,45,40,8,8,0,0,0,0,0,0
8,Thạnh Phú,54,27,0,0,8,5,5,4,0,0,0,0,0,0,1,0,5,4,1,1,0,0,0,0,0,0,0,0,7,6,2,2,0,0,0,0,0,0,1,1,5,4,6,5,0,0,0,0,0,0,0,0,8,5,4,3,0,0,0,0,0,0,2,2,46,37,25,21,0,0,0,0,0,0,2,2,149,125,26,22,0,0,0,0,0,0,0,0,107,95,22,19,0,0,0,0,0,0,0,0,38,29,11,9,0,0,0,0,0,0,1,1,26,24,6,5,0,0,0,0,0,0
9,Tổng cộng,,,17,16,120,80,15,12,0,0,0,0,0,0,6,4,59,39,15,10,0,0,0,0,0,0,6,6,83,64,14,10,0,0,0,0,0,0,10,8,139,103,31,27,0,0,0,0,0,0,15,11,209,172,42,37,0,0,0,0,0,0,70,60,786,619,163,136,0,0,0,0,0,0,86,66,1311,1010,186,148,0,0,0,0,0,0,108,77,1065,782,166,138,0,0,0,0,1,0,107,77,690,520,106,81,0,0,0,0,1,1,95,84,439,341,68,57,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Bến Tre,48,19,1,1,32,28,2,2,0,0,0,0,0,0,5,5,18,17,1,0,0,0,0,0,0,0,2,2,17,17,1,1,0,0,0,0,0,0,12,11,16,15,2,2,0,0,0,0,0,0,5,5,13,12,2,2,0,0,0,0,0,0,5,3,34,29,3,3,0,0,0,0,0,0,6,5,80,63,3,3,0,0,0,0,0,0,3,2,88,69,12,8,0,0,0,0,0,0,9,8,73,56,7,5,0,0,0,0,0,0,20,19,78,61,8,5,0,0,0,0,0,0
2,Châu Thành,49,23,4,2,14,9,2,2,0,0,0,0,0,0,2,2,15,9,3,2,0,0,0,0,0,0,2,1,12,9,1,1,0,0,0,0,0,0,4,3,7,6,1,1,0,0,0,0,0,0,4,2,12,11,0,0,0,0,0,0,0,0,6,3,26,20,2,1,0,0,0,0,0,0,8,8,34,24,3,2,0,0,0,0,0,0,11,10,46,29,10,6,0,0,0,0,0,0,20,18,67,48,7,5,0,0,0,0,0,0,12,9,45,28,5,3,0,0,0,0,0,0
3,Chợ Lách,50,22,1,1,9,7,0,0,0,0,0,0,0,0,0,0,13,11,2,1,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,16,11,3,3,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,1,1,18,16,2,2,0,0,0,0,0,0,2,0,24,18,7,6,0,0,0,0,0,0,0,0,40,29,6,6,0,0,0,0,0,0,2,2,28,25,5,3,0,0,0,0,0,0,1,1,29,26,2,2,0,0,0,0,0,0
4,Mỏ Cày,130,25 & 26,3,3,17,12,1,1,0,0,0,0,0,0,3,1,7,4,0,0,0,0,0,0,0,0,1,1,8,6,0,0,0,0,0,0,0,0,2,1,13,9,2,1,0,0,0,0,0,0,2,1,15,10,2,0,0,0,0,0,0,0,9,8,50,28,8,6,0,0,0,0,0,0,6,5,74,45,14,11,0,0,0,0,0,0,5,5,76,48,8,6,0,0,0,0,0,0,7,6,76,53,16,10,0,0,0,0,0,0,13,11,64,43,10,8,0,0,0,0,0,0
5,Giồng Trôm,51,24,5,3,26,23,5,3,0,0,0,0,0,0,1,1,11,7,3,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,5,5,32,27,3,3,0,0,0,0,0,0,8,8,52,41,11,9,0,0,0,0,0,0,8,8,137,107,13,13,0,0,0,0,0,0,13,10,190,146,21,17,0,0,0,0,0,0,3,3,197,155,25,20,0,0,0,0,1,1,23,22,208,171,29,22,0,0,0,0,0,0,38,33,147,129,14,9,0,0,0,0,2,2
