VARNAME_2,population(thousand),year,population,NAME_1,ENGTYPE_2
can giuoc,116.724,2003,116724,Long An,District
chau thanh,42.654,2003,42654,Long An,District
duc hoa,225.282,2003,225282,Long An,District
duc hue,101.468,2003,101468,Long An,District
kien tuong,46.19,2003,46190,Long An,Town
moc hoa,66.568,2003,66568,Long An,District
tan an,101.205,2003,101205,Long An,City
tan hung,68.904,2003,68904,Long An,District
tan thanh,207.856,2003,207856,Long An,District
tan tru,26.025,2003,26025,Long An,District
thanh hoa,84.552,2003,84552,Long An,District
thu thua,72.305,2003,72305,Long An,District
vinh hung,74.803,2003,74803,Long An,District
chau thanh,135.748,2003,135748,Sóc Trăng,District
cu lao dung,17.787,2003,17787,Sóc Trăng,District
ke sach,82.816,2003,82816,Sóc Trăng,District
long phu,98.942,2003,98942,Sóc Trăng,District
my tu,137.573,2003,137573,Sóc Trăng,District
my xuyen,118.691,2003,118691,Sóc Trăng,District
nga nam,94.41,2003,94410,Sóc Trăng,Town
soc trang,186.714,2003,186714,Sóc Trăng,City
thanh tri,89.612,2003,89612,Sóc Trăng,District
tran de,170.715,2003,170715,Sóc Trăng,District
vinh chau,138.884,2003,138884,Sóc Trăng,Town
cai be,361.774,2003,361774,Tiền Giang,District
cai lay,174.953,2003,174953,Tiền Giang,District
cai lay,159.664,2003,159664,Tiền Giang,Town
cho gao,63.847,2003,63847,Tiền Giang,District
chau thanh,143.361,2003,143361,Tiền Giang,District
go cong,160.281,2003,160281,Tiền Giang,Town
go cong dong,204.04,2003,204040,Tiền Giang,District
go cong tay,174.855,2003,174855,Tiền Giang,District
my tho,153.243,2003,153243,Tiền Giang,City
tan phu dong,31.543,2003,31543,Tiền Giang,District
tan phuoc,81.787,2003,81787,Tiền Giang,District
cau ke,104.4,2003,104400,Trà Vinh,District
cau ngang,226.513,2003,226513,Trà Vinh,District
cang long,105.175,2003,105175,Trà Vinh,District
chau thanh,147.235,2003,147235,Trà Vinh,District
duyen hai,80.088,2003,80088,Trà Vinh,District
duyen hai,71.29,2003,71290,Trà Vinh,Town
tieu can,80.894,2003,80894,Trà Vinh,District
tra cu,157.324,2003,157324,Trà Vinh,District
tra vinh,83.899,2003,83899,Trà Vinh,City
binh minh,130.89,2003,130890,Vĩnh Long,Town
binh tan,52.34,2003,52340,Vĩnh Long,District
long ho,134.197,2003,134197,Vĩnh Long,District
mang thit,97.173,2003,97173,Vĩnh Long,District
tam binh,187.271,2003,187271,Vĩnh Long,District
tra on,174.987,2003,174987,Vĩnh Long,District
vinh long,131.292,2003,131292,Vĩnh Long,City
vung liem,201.805,2003,201805,Vĩnh Long,District
an phu,160.427,2004,160427,An Giang,District
cho moi,285.772,2004,285772,An Giang,District
chau doc,84.692,2004,84692,An Giang,City
chau phu,270.639,2004,270639,An Giang,District
chau thanh,177.775,2004,177775,An Giang,District
long xuyen,243.09,2004,243090,An Giang,City
phu tan,168.702,2004,168702,An Giang,District
tinh bien,226.04,2004,226040,An Giang,District
tan chau,172.146,2004,172146,An Giang,Town
thoai son,183.404,2004,183404,An Giang,District
tri ton,251.882,2004,251882,An Giang,District
bac lieu,150.663,2004,150663,Bạc Liêu,City
dong hai,111.457,2004,111457,Bạc Liêu,District
gia rai,154.986,2004,154986,Bạc Liêu,Town
hong dan,105.243,2004,105243,Bạc Liêu,District
hoa binh,102.509,2004,102509,Bạc Liêu,District
phuoc long,116.126,2004,116126,Bạc Liêu,District
vinh loi,76.465,2004,76465,Bạc Liêu,District
ben tre,106.637,2004,106637,Bến Tre,City
ba tri,314.852,2004,314852,Bến Tre,District
binh dai,179.209,2004,179209,Bến Tre,District
cho lach,56.574,2004,56574,Bến Tre,District
chau thanh,40.51,2004,40510,Bến Tre,District
giong trom,158.01,2004,158010,Bến Tre,District
mo cay bac,64.081,2004,64081,Bến Tre,District
mo cay nam,169.004,2004,169004,Bến Tre,District
thanh phu,277.303,2004,277303,Bến Tre,District
binh thuy,133.224,2004,133224,Cần Thơ,Urban District
co do,145.611,2004,145611,Cần Thơ,District
cai rang,46.192,2004,46192,Cần Thơ,Urban District
ninh kieu,185.227,2004,185227,Cần Thơ,Urban District
o mon,104.806,2004,104806,Cần Thơ,Urban District
phong dien,88.952,2004,88952,Cần Thơ,District
thot not,64.007,2004,64007,Cần Thơ,Urban District
thoi lai,124.801,2004,124801,Cần Thơ,District
vinh thanh,153.711,2004,153711,Cần Thơ,District
ca mau,184.173,2004,184173,Cà Mau,City
cai nuoc,135.715,2004,135715,Cà Mau,District
dam doi,211.645,2004,211645,Cà Mau,District
nam can,47.085,2004,47085,Cà Mau,District
ngoc hien,36.507,2004,36507,Cà Mau,District
phu tan,151.747,2004,151747,Cà Mau,District
thoi binh,207.758,2004,207758,Cà Mau,District
tran van thoi,117.965,2004,117965,Cà Mau,District
u minh,83.448,2004,83448,Cà Mau,District
cao lanh,185.063,2004,185063,Đồng Tháp,District
cao lanh,159.185,2004,159185,Đồng Tháp,City
chau thanh,176.187,2004,176187,Đồng Tháp,District
hong ngu,107.88,2004,107880,Đồng Tháp,District
hong ngu,39.514,2004,39514,Đồng Tháp,City
lap vo,170.954,2004,170954,Đồng Tháp,District
lai vung,114.901,2004,114901,Đồng Tháp,District
sa dec,69.214,2004,69214,Đồng Tháp,City
tam nong,118.453,2004,118453,Đồng Tháp,District
tan hong,88.087,2004,88087,Đồng Tháp,District
thanh binh,122.128,2004,122128,Đồng Tháp,District
thap muoi,264.224,2004,264224,Đồng Tháp,District
chau thanh,43.502,2004,43502,Hậu Giang,District
chau thanh a,97.145,2004,97145,Hậu Giang,District
long my,127.377,2004,127377,Hậu Giang,District
long my,91.031,2004,91031,Hậu Giang,Town
nga bay,73.215,2004,73215,Hậu Giang,City
phung hiep,266.616,2004,266616,Hậu Giang,District
vi thanh,118.806,2004,118806,Hậu Giang,City
vi thuy,124.196,2004,124196,Hậu Giang,District
an bien,53.792,2004,53792,Kiên Giang,District
an minh,87.218,2004,87218,Kiên Giang,District
chau thanh,156.574,2004,156574,Kiên Giang,District
giong rieng,133.84,2004,133840,Kiên Giang,District
giang thanh,65.839,2004,65839,Kiên Giang,District
go quao,104.374,2004,104374,Kiên Giang,District
ha tien,48.234,2004,48234,Kiên Giang,City
hon dat,283.428,2004,283428,Kiên Giang,District
kien hai,0.023,2004,23,Kiên Giang,District
kien luong,92.773,2004,92773,Kiên Giang,District
phu quoc,15.965,2004,15965,Kiên Giang,City
rach gia,224.93,2004,224930,Kiên Giang,City
tan hiep,158.725,2004,158725,Kiên Giang,District
u minh thuong,56.367,2004,56367,Kiên Giang,District
vinh thuan,106.439,2004,106439,Kiên Giang,District
ben luc,94.089,2004,94089,Long An,District
can duoc,100.76,2004,100760,Long An,District
can giuoc,119.544,2004,119544,Long An,District
chau thanh,44.761,2004,44761,Long An,District
duc hoa,240.636,2004,240636,Long An,District
duc hue,99.879,2004,99879,Long An,District
kien tuong,51.495,2004,51495,Long An,Town
moc hoa,67.324,2004,67324,Long An,District
tan an,94.362,2004,94362,Long An,City
tan hung,70.157,2004,70157,Long An,District
tan thanh,217.558,2004,217558,Long An,District
tan tru,26.17,2004,26170,Long An,District
thanh hoa,86.618,2004,86618,Long An,District
thu thua,74.033,2004,74033,Long An,District
vinh hung,74.647,2004,74647,Long An,District
chau thanh,128.757,2004,128757,Sóc Trăng,District
cu lao dung,16.869,2004,16869,Sóc Trăng,District
ke sach,81.615,2004,81615,Sóc Trăng,District
long phu,103.434,2004,103434,Sóc Trăng,District
my tu,141.486,2004,141486,Sóc Trăng,District
my xuyen,124.955,2004,124955,Sóc Trăng,District
nga nam,100.36,2004,100360,Sóc Trăng,Town
soc trang,184.286,2004,184286,Sóc Trăng,City
thanh tri,94.097,2004,94097,Sóc Trăng,District
tran de,172.379,2004,172379,Sóc Trăng,District
vinh chau,144.358,2004,144358,Sóc Trăng,Town
cai be,354.765,2004,354765,Tiền Giang,District
cai lay,183.524,2004,183524,Tiền Giang,District
cai lay,176.085,2004,176085,Tiền Giang,Town
cho gao,64.142,2004,64142,Tiền Giang,District
chau thanh,144.791,2004,144791,Tiền Giang,District
go cong,159.688,2004,159688,Tiền Giang,Town
go cong dong,216.123,2004,216123,Tiền Giang,District
go cong tay,178.621,2004,178621,Tiền Giang,District
my tho,135.621,2004,135621,Tiền Giang,City
tan phu dong,32.911,2004,32911,Tiền Giang,District
tan phuoc,82.982,2004,82982,Tiền Giang,District
cau ke,109.53,2004,109530,Trà Vinh,District
cau ngang,221.362,2004,221362,Trà Vinh,District
cang long,107.437,2004,107437,Trà Vinh,District
chau thanh,153.837,2004,153837,Trà Vinh,District
duyen hai,73.469,2004,73469,Trà Vinh,District
duyen hai,54.566,2004,54566,Trà Vinh,Town
tieu can,89.228,2004,89228,Trà Vinh,District
tra cu,167.376,2004,167376,Trà Vinh,District
tra vinh,91.662,2004,91662,Trà Vinh,City
binh minh,118.128,2004,118128,Vĩnh Long,Town
binh tan,55.129,2004,55129,Vĩnh Long,District
long ho,137.492,2004,137492,Vĩnh Long,District
mang thit,103.021,2004,103021,Vĩnh Long,District
tam binh,190.127,2004,190127,Vĩnh Long,District
tra on,185.328,2004,185328,Vĩnh Long,District
vinh long,137.283,2004,137283,Vĩnh Long,City
vung liem,203.408,2004,203408,Vĩnh Long,District
an phu,176.971,2005,176971,An Giang,District
